index,image_path,image_index,speed
19279,../Mini Project/data/clean_data/train_imgs/19279.jpg,19279,5.463822
19280,../Mini Project/data/clean_data/train_imgs/19280.jpg,19280,5.465823
16332,../Mini Project/data/clean_data/train_imgs/16332.jpg,16332,9.09936
16333,../Mini Project/data/clean_data/train_imgs/16333.jpg,16333,9.123953
12645,../Mini Project/data/clean_data/train_imgs/12645.jpg,12645,10.504432
12646,../Mini Project/data/clean_data/train_imgs/12646.jpg,12646,10.532758
8444,../Mini Project/data/clean_data/train_imgs/8444.jpg,8444,20.246571
8445,../Mini Project/data/clean_data/train_imgs/8445.jpg,8445,20.276661
16946,../Mini Project/data/clean_data/train_imgs/16946.jpg,16946,1.87448
16947,../Mini Project/data/clean_data/train_imgs/16947.jpg,16947,1.870772
19433,../Mini Project/data/clean_data/train_imgs/19433.jpg,19433,1.979639
19434,../Mini Project/data/clean_data/train_imgs/19434.jpg,19434,1.945971
18272,../Mini Project/data/clean_data/train_imgs/18272.jpg,18272,10.920295
18273,../Mini Project/data/clean_data/train_imgs/18273.jpg,18273,10.915598
1031,../Mini Project/data/clean_data/train_imgs/1031.jpg,1031,19.192529
1032,../Mini Project/data/clean_data/train_imgs/1032.jpg,1032,19.183338
19261,../Mini Project/data/clean_data/train_imgs/19261.jpg,19261,6.111203
19262,../Mini Project/data/clean_data/train_imgs/19262.jpg,19262,6.141296
6771,../Mini Project/data/clean_data/train_imgs/6771.jpg,6771,15.917294
6772,../Mini Project/data/clean_data/train_imgs/6772.jpg,6772,15.919037
4074,../Mini Project/data/clean_data/train_imgs/4074.jpg,4074,21.31136
4075,../Mini Project/data/clean_data/train_imgs/4075.jpg,4075,21.311697
16926,../Mini Project/data/clean_data/train_imgs/16926.jpg,16926,1.918396
16927,../Mini Project/data/clean_data/train_imgs/16927.jpg,16927,1.920616
13699,../Mini Project/data/clean_data/train_imgs/13699.jpg,13699,8.103462
13700,../Mini Project/data/clean_data/train_imgs/13700.jpg,13700,8.16336
16277,../Mini Project/data/clean_data/train_imgs/16277.jpg,16277,11.417338
16278,../Mini Project/data/clean_data/train_imgs/16278.jpg,16278,11.418523
11032,../Mini Project/data/clean_data/train_imgs/11032.jpg,11032,5.551299
11033,../Mini Project/data/clean_data/train_imgs/11033.jpg,11033,5.527095
1612,../Mini Project/data/clean_data/train_imgs/1612.jpg,1612,17.591133
1613,../Mini Project/data/clean_data/train_imgs/1613.jpg,1613,17.562497
1844,../Mini Project/data/clean_data/train_imgs/1844.jpg,1844,21.844187
1845,../Mini Project/data/clean_data/train_imgs/1845.jpg,1845,21.916101
2669,../Mini Project/data/clean_data/train_imgs/2669.jpg,2669,25.249164
2670,../Mini Project/data/clean_data/train_imgs/2670.jpg,2670,25.250657
15,../Mini Project/data/clean_data/train_imgs/15.jpg,15,27.940599
16,../Mini Project/data/clean_data/train_imgs/16.jpg,16,27.908579
18628,../Mini Project/data/clean_data/train_imgs/18628.jpg,18628,0.0
18629,../Mini Project/data/clean_data/train_imgs/18629.jpg,18629,0.0
11631,../Mini Project/data/clean_data/train_imgs/11631.jpg,11631,7.226369
